code,product_name,brands,categories,ingredients_text,allergens,labels,countries,serving_size,nutriscore_grade,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
0000103227577,PRO-TF Chocolate,4life,"dietary supplements, bodybuilding supplements, protein powders","Whey protein (milk, soy), maltodextrin, egg white protein, cocoa powder, natural chocolate flavor, medium chain triglycerides, 4Life Tri-Factor Formula (made from colostrum (milk) and egg yolk), sodium chloride, thickeners (xanthan gum, sodium carboxymethylcellulose), and sweeteners (sucralose, acesulfame K).","eggs, milk, soybeans",,spain,17 g,,411.764705882353,5.88235294117647,5.88235294117647,29.4117647058824,5.88235294117647,,58.8235294117647,2.20588235294118
0000112345680,Soupe Toscane,La Potagère,,"Tomates* 31 %, vermicelles 18 % (semoule de blé dur supérieure*), farine de blé&quot;, fécule de pomme de terre*, sel, sucre de canne*, oignon* 3,5 %, huile d'olive vierge extra* 2 %, ail*, extrait de levure, arôme naturel, plantes aromatiques 1,07 % (dont basilic* 0,45 %), betterave rouge. &quot;Issus de l'agriculture biologique",,"organic, eu organic, ab agriculture biologique",france,,,336.0,2.7,0.5,64.1,20.1,7.1,10.3,7.0
0000122120101,MOA,nutrifii,dietary supplements,"at Of which saturated arbohydrate Of which sugars otein alt &lt;0.0 REDIENTS: Water, mango (Mangifera indica) fruit puree, prune nus domesticus) fruit juice concentrate, pomegranate (Punica g fruit juice concentrate, blackberry (Rubus fruticosus) fruit juice trate, flavouring (fermented flax seed and oregano oil), pear (Pyn munis) fruit juice concentrate, cranberry (Vaccinium oxycoccus) e concentrate, sour cherry (Prunus cerasus) fruit juice concentra kcurrant (Ribes nigrum L) fruit juice concentrate, noni (Morinda olia) fruit juice concentrate, mangosteen (Garcinia mangostana) ee, goji (Lycium barbarum) berry puree, acai (Euterpe oleracea) b , aloe Vera (Aloe barbadensis) leaf gel, acerola cherry (Malpighi ra) fruit juice, dextrose, maltodextrin, peach (Prunus persica) fr concentrate, apple (Malus domestica) fruit juice concentrate, rberry (Sambucus nigra) fruit juice concentrate, natural flavouri ener (xanthan gum), Bergavit 40 bergamot (Citrus bergamia o & Poit.), reishi (Ganoderma lucidum) mushroom powder, shita inula edodes) mushroom powder, cordyceps (Cordyceps sinens room powder, almond mushroom (Agaricus blazei) powder, Lic e (Hericium erinaceus) mushroom powder, white tea (Camellia sis) leaf extract, black cumin (Nigella sativa) seed, maitake ala frondosa) mushroom powder, grape (Vitis vinifera) seed extr al strawberry flavouring, green tea (Camellia sinensis) leaf extm tener (steviol glycosides), black pepper (Piper nigrum) fruit ext perry (Vaccinium angustifolium) fruit puree, elderberry (Sambuc fruit puree, orange (Citrus sinensis) fruit puree, kelp (Ascophy sum) leaf powder, turmeric (Curcuma longa) rhizome powder. ommended daily dose: Drink one nouch (50 ml)",,,"belgium, united states",50 ml,,40.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0
00001247,Shake Mix Vanilla Flavour,Herbalife,dietary supplements,"Soy Protein Isolate, Sugar, Fructose Powder, Whey Protein Concentrate, Lecithin Powder, Ca Powder, Calcium Caseinate, Potassium Chloride, Artificial vanilla flavouring substances, Diluent (Dicalcium P phosphate-INS 340 (ii), Papain Powder, Antioxidant (Ascorbyl palmitate - INS 304), Emulsifier (Glyceryl monostearate - INS 471), Sweetener (Sucralose - INS 955), Stabilizer [Dipotassium hydroge INS. 341 (i)), Minerals ##, Sodium Caseinate, Vitamins&quot;, Psyllium Husk Powder, Zingiber officinale Rhizome","milk, soybeans","vegetarian, green dot india","india, ireland",100.0g,,376.0,7.2,1.6,42.0,29.6,12.0,36.0,1.23
0000155011159,Mini chaussons à la compote de pomme,Intermarché,"snacks, sweet snacks, sweet pastries and pies, viennoiseries, apple turnovers","Pâte 66.7%. farine de BLE, beurre (lait) 18,6%. eau, sel, levure désactivée. Garniture compote de pommes 30,5% : purée de pommes concentrée, sirop de glucose fructose (BLE).","gluten, milk",,france,,d,343.0,15.78,8.31,41.05,18.2,1.97,3.69,0.28
00003507,Cosmic Crisp Apple,,"plant based foods and beverages, plant based foods, fruits and vegetables based foods, fruits based foods, fruits, apples, fresh fruits, fresh apples",Cosmic Crisp apple,,,"canada, united states",140 g,b,71.4285714285714,0.357142857142857,0.0,,10.7142857142857,4.28571428571429,0.142857142857143,0.0
00004467,Alimento equilibrado,Herbalife,dietary supplements,Senza glutine • Offre almeno un terzo dei consumi di riferimento di 25 vitamine e minerali • 5 g di fibre per porzione • Ingredienti adatti ai vegani • Confezione da 550 g,"milk, soybeans","no gluten, green dot","france, spain",26g,,398.0,9.7,1.6,33.0,21.0,18.0,35.0,1.2
00007777,Koekjes Zacht,Baby Bio,"snacks, sweet snacks, biscuits and cakes, biscuits and crackers, biscuits","Tabloem 31.3%, ruwe rietsuiker laneszetmeel 27.4%, eieren&quot;, koolzaadolie&quot;, jamiddelen ammoniumcarbonaten en kaliumtartraten, natuur van ma, thiamine (vitamine B1) biologisch Kani sesamzaad en mosterd bevaten van mek, noten, soja, Bewaring: Fris en","eggs, nuts, soybeans","organic, triman",belgium,10 g (2 biscuits),d,447.0,14.0,1.4,73.0,31.0,1.8,5.2,0.0675
00008775,Vegan 3K Protein,Nutri+,"dietary supplements, bodybuilding supplements, protein powders, protein shakes","Sojaproteinisolat, Weizenprotein, Aroma, Erbsenproteinisolat, Süßungsmittel Sucralose","gluten, soybeans","vegetarian, vegan, no lactose",germany,1 portion (30 g),,373.0,2.4,0.9,5.4,0.0,2.7,81.0,2.8
00012317,Club Turkey Bacon,Crous Languedoc Roussillon,"sandwiches, raw vegetable sandwiches, sandwich made with loaf bread","PAIN DE MIE COMPLET 43,9% : Farine complète de BLE 47%, eau, farine de BLE, huile de colza, dextrose, sucre, sel, GLUTEN DE BLE, arôme [contient alcool], levure, vinaigre, conservateur : propionate de calcium, émulsifiant : mono et diglycérides d'acides gras, antioxydant : acide ascorbique. Garniture 56,1%: Blanc de volaille 36,4% (filet de dinde 86,5% [origine France], salaison [eau, sel, arômes, dextrose et sirop de glucose, gélifiant, algues Euchémas transformées, poivre, extrait de levures (dont ORGE), arôme naturel de romarin, conservateur : nitrite de sodium, colorant : de caramel E150a), tomate 18,2 %, salade batavia 13,6%, bacon fumé 13,6% (carré de porc [origine France]. eau, sel acidifiant : acétate de sodium, antioxydant : érythorbate de sodium, conservateur : nitrite de sodium), CHEDDAR râpé 9.1%% (LAIT de vache pasteurisé 98%, sel, FERMENTS LACTIQUES. coagulant, E509, colorant : E160b, antiagglomérant : cellulose) SAUCE POMMES FRITES 9,1% (huile de colza 30%, LAIT écrémé reconstitué, VINAIGRE, sucre, eau, amidon modifié, jaune d'OEUF, sel, MOUTARDE de Dijon [eau, graine de MOUTARDE, VINAIGRE, sel, antioxydant : DISULFITE de potassium, acidifliant : acide citrique), oignon, persil, acidifiant : acide lactique, jus de citron concentré, conservateur : sorbate de potassium, épaississant comme xanthane, arômes, antioxydant : E385 (% exprimés sur la garniture)","eggs, gluten, milk, mustard, sulphur dioxide and sulphites",,france,196g,c,190.0,6.6,1.9,19.9,3.1,4.0,10.5,1.3
